Name,Phase
,
,
01.1 Interviews R1,01. Analyse
01.2 Empathy Map R1,01. Analyse
01.3 User Stories R1,01. Analyse
02.1 User Personas,02. Define
02.2 User Flow,02. Define
02.3 Sitemap,02. Define
01.4 Interviews R2,01. Analyse
01.5 Empathy Map R2,01. Analyse
01.6 Competitive Analysis,01. Analyse
02.04 AI MoodBoard,02. Define
03.1 Design System - Foundations,03. Ideate
03.2 High Fidelity Mockups,03. Ideate
03.3 React Prototype,03. Ideate
04.1 UAT scenarios,04. Test
05.1 Measurement Concept,05. Measurement